number,value,datetime_start,datetime_complete,duration,params_lambda,params_window_size,state
56,0.0,2026-03-31 16:51:32.137573,2026-03-31 16:51:33.409078,0 days 00:00:01.271505,0.004736905053233192,216,COMPLETE
57,0.28500608850927744,2026-03-31 16:51:33.409485,2026-03-31 16:51:34.771231,0 days 00:00:01.361746,0.002229122954391771,233,COMPLETE
58,0.2514891370768483,2026-03-31 16:51:34.771655,2026-03-31 16:51:36.051537,0 days 00:00:01.279882,0.0034462895865224694,238,COMPLETE
59,0.29341799348698455,2026-03-31 16:51:36.051983,2026-03-31 16:51:37.428830,0 days 00:00:01.376847,0.0018224662683350228,253,COMPLETE
60,0.10467216373290468,2026-03-31 16:51:37.429224,2026-03-31 16:51:38.883184,0 days 00:00:01.453960,0.0016052833292581785,254,COMPLETE
61,0.6105359829624177,2026-03-31 16:51:38.883577,2026-03-31 16:51:40.258649,0 days 00:00:01.375072,0.003505898780188227,231,COMPLETE
62,0.17137623842744343,2026-03-31 16:51:40.259133,2026-03-31 16:51:41.570720,0 days 00:00:01.311587,0.001853866035355032,225,COMPLETE
63,0.3314349601729276,2026-03-31 16:51:41.571153,2026-03-31 16:51:42.943204,0 days 00:00:01.372051,0.0027711388679211887,246,COMPLETE
64,0.1046694861501433,2026-03-31 16:51:42.943609,2026-03-31 16:51:44.396723,0 days 00:00:01.453114,0.0013274344537919168,245,COMPLETE
65,0.0,2026-03-31 16:51:44.397109,2026-03-31 16:51:45.666951,0 days 00:00:01.269842,0.008709482104616431,205,COMPLETE
66,0.2890802944902983,2026-03-31 16:51:45.667382,2026-03-31 16:51:46.986161,0 days 00:00:01.318779,0.0029414618009748913,195,COMPLETE
67,0.304537403476485,2026-03-31 16:51:46.986587,2026-03-31 16:51:48.290288,0 days 00:00:01.303701,0.0027713867635107753,177,COMPLETE
68,0.1784072005013579,2026-03-31 16:51:48.290701,2026-03-31 16:51:49.586531,0 days 00:00:01.295830,0.0033001475554050035,178,COMPLETE
69,0.4084147931262594,2026-03-31 16:51:49.586934,2026-03-31 16:51:50.960168,0 days 00:00:01.373234,0.002785583768231898,194,COMPLETE
