stock,window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2,avg_selection_rate
90373,231,1,0.003505898780188227,0.0035352394219564064,-0.005450926611727969,-7.254261635836201e-10,-0.0007424234411275155,1.383489737140798e-07,2.1473537021148964e-07,0.0007948976234002514,2.176035945974215,1642,1645,,0.0024687020950434338
89049,231,1,0.003505898780188227,-0.004748330619983106,-0.002175739983754754,-7.461098405769917e-11,-0.008569544525765638,0.5,,0.0003469389391443218,2.1225271618673163,1642,1645,,0.0
86942,231,1,0.003505898780188227,-0.002851954658464462,-0.0013227325639013632,-1.0771117331387359e-10,-0.0017135474693521502,9.945719225349769e-08,3.160040195441032e-08,0.00046326569193483726,1.8764753332245288,1642,1645,,0.0005205671946857434
77925,231,1,0.003505898780188227,-0.004564719368001588,-0.002318653782677371,-4.83850737253988e-11,-0.0027906504082175765,0.5,,0.0003771514900808631,2.16252031636006,1642,1645,,0.0
62498,231,1,0.003505898780188227,-0.00019315026158700215,-0.003576847548615092,0.0046783111348323025,-0.0003449234959047587,0.8013740661669971,14.0326559198243,0.001060882387521983,3.0236935176488298,1642,1645,,0.0013317577925396015
88660,231,1,0.003505898780188227,0.008962576278053939,-0.001173366586439517,0.0011935483081262355,-0.0016691593080935263,0.3728760621924057,2.2303130218434144,0.00035696526508226684,0.812073649246418,1642,1645,,0.006853602452733776
89810,231,1,0.003505898780188227,0.029457353810626113,-0.022123503449620996,-2.9159235026554597e-09,-0.002988474157386456,7.972300859926569e-07,6.616188502028677e-06,0.0009818007326975336,1.9885111136181122,1642,1645,,0.02202989269289729
86949,231,1,0.003505898780188227,0.06250678388377676,-0.025131002485776266,0.0003836390448969107,-0.001273849220835288,0.09758589879686563,0.8792519282384326,0.0013033892085759803,1.883670673512475,1642,1645,,0.04415878896269801
75459,231,1,0.003505898780188227,-0.003075193476656099,-0.002397667955326588,-2.8150859421316454e-10,-0.001823155699267831,0.5,,0.00035421213236919575,1.9249623055040554,1642,1645,,0.0
71079,231,1,0.003505898780188227,-0.0030085847612888305,-0.001865396083281734,0.0001654816161756889,-0.011861171258901404,0.3261426757328839,0.7704775676632583,0.00041479768433881777,1.5013083246926464,1642,1645,,0.0008527082268778743
90103,231,1,0.003505898780188227,-0.0016640468109627908,-0.0020075283948488565,1.9353264948396287e-06,-0.0030173309961640804,0.12786818737769765,0.06492852122620879,0.0004081919561243144,1.7991094954231497,1642,1645,,1.5968318855390903e-05
85414,231,1,0.003505898780188227,0.000446158444749793,-0.0005123914578479827,-1.4837156392388806e-08,-0.010085547596959454,2.4478623793781906e-05,1.7850115408216268e-05,0.00029558988421373334,1.0722996558512001,1642,1645,,0.0010123914154317832
79226,231,1,0.003505898780188227,-0.005903518150361341,-0.0007264969903197915,-6.641589500588907e-10,-6.549619517115524e-05,0.5,,0.00020050166285295445,1.3474154947383414,1642,1645,,0.0
65307,231,1,0.003505898780188227,0.0011686785771777783,-0.004189194375846972,-6.6845551316419e-10,-4.231047104230612e-05,1.68356968965281e-07,2.2985698550667326e-07,0.000762717854966991,2.1707735551631373,1642,1645,,0.002178078691875319
92543,231,1,0.003505898780188227,0.220103964022606,-0.08781983830429829,0.0003762684121567661,-0.008940877547978232,0.04788909458519424,0.8242267683847045,-0.0006810732385315684,-0.5820165409813352,1642,1645,,0.18126596831885539
61815,231,1,0.003505898780188227,0.016779612112143516,-0.011245192922734182,-2.6629007887635225e-09,-0.0002150847298565406,2.76152037930594e-07,1.0224806563517602e-06,2.3588056048474755e-05,0.04562310456882917,1642,1645,,0.016552759325498212
45356,231,1,0.003505898780188227,-0.002367493718073874,-0.0020170042423861556,2.5788610580335103e-08,-0.0003283516204450887,0.024688083482211787,0.011579313646718785,0.0006589664838513099,1.9145817797599984,1642,1645,,0.000670669391926418
87666,231,1,0.003505898780188227,0.0017310492482423764,-0.0036498843065546627,-2.679052535370374e-10,-0.0003949291793063914,3.064249276137597e-07,5.330186499101078e-07,0.0004045112735725912,1.0356070345148138,1642,1645,,0.003442769545222279
89053,231,1,0.003505898780188227,-0.005188469603360471,-0.0017223065684104366,-4.5651016300496394e-10,-0.003587972859714794,0.5,,0.00031247988763262994,1.9243440438544457,1642,1645,,0.0
20053,231,1,0.003505898780188227,0.03191335455465213,-0.029315544934912063,-1.9266011008767236e-09,-0.0028864684460139234,2.255124889223581e-07,1.8189661604038703e-06,0.0008175399145209946,1.5423139842113107,1642,1645,,0.025376852324987223
88615,231,1,0.003505898780188227,0.020012886221432335,-0.015060126056566814,6.963900928214084e-05,-0.000568130539593481,0.04789037161423587,0.35487303649099483,0.0006228524426886217,1.1952895356383464,1642,1645,,0.01671244251405212
24969,231,1,0.003505898780188227,-0.0013543253768595247,-0.0027897016283091602,-3.8123793011379803e-10,-0.00042663207549531457,0.5,,0.0006104856047343135,2.186834526518165,1642,1645,,0.0
85663,231,1,0.003505898780188227,0.07828958741851262,-0.03793212523934453,-3.361755318564974e-13,-0.0014996203790400564,3.4621128062396726e-11,3.2721860037075983e-10,0.0013836081657525629,1.9282447309104105,1642,1645,,0.0561318344404701
79918,231,1,0.003505898780188227,-0.0032987629873804554,-0.0010189221292953299,-7.040967808791265e-10,-0.00409667403757874,9.644864162892779e-06,1.1727865213628614e-06,0.0002376544789768945,1.1871468518400403,1642,1645,,0.00011177823198773634
86349,231,1,0.003505898780188227,0.01773589948065928,0.0024142334001082677,-2.535459331376444e-08,-0.00021700328299267824,8.38299590925184e-05,0.0002801675660850601,0.0005759067665778927,1.1695819084536947,1642,1645,,0.01297266223811957
24272,231,1,0.003505898780188227,0.008713024541348023,-0.00479907297304738,0.0003840882404997359,-0.0002385118321273083,0.18666223418465733,0.9751463643885729,0.0007546201657108469,1.8689364234170327,1642,1645,,0.0075178845171180375
14752,231,1,0.003505898780188227,0.017923575160567504,-0.006584515749712416,7.662922200113442e-06,-0.0022564136396954204,0.024346516443731852,0.1150326470024333,0.0014857945886186442,2.9307741724656062,1642,1645,,0.012943919264179867
91801,231,1,0.003505898780188227,0.020146905413302146,-0.026162070493032097,-2.9611868512802175e-12,-0.13194144723268142,3.3466279483239863e-10,2.19374864597758e-09,0.00046145155393044766,0.903017064608438,1642,1645,,0.01627491057741441
71722,231,1,0.003505898780188227,-0.0023958073608747097,-0.0015780985205693376,-5.624347654276107e-10,-0.0014003779617750567,0.5,,0.00035707214777729176,1.6479104340064497,1642,1645,,0.0
16555,231,1,0.003505898780188227,0.006670185712228645,0.00015762965124566097,0.000410022776097696,0.00044649844932165283,0.29082540118123035,1.1563811896879395,0.0005426087194711894,1.4259958546918394,1642,1645,,0.003299054675523761
32942,231,1,0.003505898780188227,0.0006776875499776908,-0.005482920849360973,-2.0341062167972268e-10,-4.6145246969997444e-05,4.0796348253595294e-08,5.7882845475008854e-08,0.0005591779402801242,1.6309829739535397,1642,1645,,0.0022515329586101176
80204,231,1,0.003505898780188227,0.005554530328807671,-0.0021550653571296152,0.0005658519984063082,-0.001567813167030696,0.3579940970130377,1.5022487231806798,0.0007519155022849449,1.6733523525926322,1642,1645,,0.005087506387327542
26403,231,1,0.003505898780188227,-0.002449708543356312,-0.0034367845816689613,0.00024905841729694345,-0.005328300456044266,0.5870534402515918,1.5509130229632493,0.0007641230953327097,2.3828947610891427,1642,1645,,0.00037046499744506896
92010,231,1,0.003505898780188227,0.02856686164770504,-0.01661256547435519,-6.523601658869893e-09,-0.0012446290800791626,3.450144746633952e-07,1.8068475879900284e-06,0.00018250700770777836,0.33582615403562205,1642,1645,,0.021158022483392946
89236,231,1,0.003505898780188227,0.010176264751156837,-0.010876566104289553,-2.1836088492932504e-11,-0.01856694463028452,3.5995652975019687e-09,1.3958020095897435e-08,0.00022186654479410453,0.48471851839764446,1642,1645,,0.009868421052631578
90050,231,1,0.003505898780188227,-0.005104277421887958,-0.003061512654102705,-1.60578661478894e-10,-0.010360292796692816,0.5,,0.00047730743554011873,1.9553513457778446,1642,1645,,0.0
23393,231,1,0.003505898780188227,-0.0007614155296722923,-0.004888024596258145,-5.729507757123997e-08,-0.0009618841059759742,0.00018523762827626564,6.233321577054492e-05,0.0007811291895214177,2.999558591209458,1642,1645,,0.00015968318855390904
60206,231,1,0.003505898780188227,0.00010467824986568064,-0.004691063315552357,-6.400022733998867e-10,-0.0037917531325988296,3.045958085362479e-06,2.908269696474868e-06,0.0007840542352218674,2.249632309651434,1642,1645,,0.0017054164537557487
85254,231,1,0.003505898780188227,0.004318565848847601,-0.0005616301073423369,0.0006388567322299643,-0.001374838202601092,0.42813535622142007,1.7877954098676128,0.00035016651433346954,0.7643771734859781,1642,1645,,0.004940597853857946
79644,231,1,0.003505898780188227,0.0002447701723979671,-0.00045304386375533134,1.2117006762291105e-05,-0.0006048707605919024,0.11091606750082474,0.15839946451945866,0.00021635747509009249,0.5407853297066619,1642,1645,,0.0027497445068983134
77878,231,1,0.003505898780188227,-0.0012803596490050565,-0.002452841368352887,0.00019972587133743058,-1.091297568978078e-06,0.527173185391809,1.2072700281506639,0.0006607544178472913,2.0681224154255564,1642,1645,,0.00015968318855390904
82932,231,1,0.003505898780188227,-0.003382451657834593,-0.00046300328696924353,0.0001455372357042073,-0.0007378799950767956,0.9496734403624459,9.771052324934066,0.00027345460084754784,0.7492213339923774,1642,1645,,0.00010858456821665816
17830,231,1,0.003505898780188227,-0.0019487303819075079,-0.0018567917056777627,-3.162293760183843e-09,-0.0037564870361026514,5.523731085722242e-06,3.5279186389785054e-06,0.0004247708714180823,1.4393184644146195,1642,1645,,0.0006227644353602453
79663,231,1,0.003505898780188227,0.01665221287591732,-0.007113624404485819,-2.7680968628374103e-11,-0.014824182687692922,1.2076072633976928e-08,4.4975715737368614e-08,6.372699573193537e-05,0.12079655032413092,1642,1645,,0.01271078180889116
93093,231,1,0.003505898780188227,0.21055216797580395,-0.0839757250603137,0.001954054271500194,-0.035878091073568985,0.08839232171854156,1.9696439476435963,-0.0010487897886783497,-0.8658228550029989,1642,1645,,0.16574476239141545
79461,231,1,0.003505898780188227,-0.0024547148972159662,-0.0026630874325337395,-3.104472900972155e-09,-0.004527919320824969,1.7782451716599063e-06,9.0886020839508e-07,0.0003539530773908964,1.7167135395703497,1642,1645,,0.000654701073071027
85905,231,1,0.003505898780188227,-0.0011204282571313953,-0.0018186178487920035,-1.981703445785854e-08,-0.004105154420686041,1.8190657549026906e-05,9.066742745854125e-06,0.0003517282145067654,1.5620298387559959,1642,1645,,0.0006483137455288707
82855,231,1,0.003505898780188227,-0.0013655406134778004,-0.0030602774393686527,-2.341181359888367e-08,-0.0003439292245017711,4.777043075940464e-05,1.7547139538432363e-05,0.0005600883607539647,1.8665043894093956,1642,1645,,0.0005141798671435871
90056,231,1,0.003505898780188227,0.02586128456858887,-0.01528889838334968,-7.2121699723481925e-09,-0.0039920474779948645,0.00017704780687448671,0.0010451052994109049,0.00025626691042014916,0.5806039880609464,1642,1645,,0.0125
34032,231,1,0.003505898780188227,0.036622325575581816,-0.01961252627637622,0.0008154130704959295,2.6214200889773664e-05,0.15465730785673273,1.3670135701927566,0.0010307740414218067,1.9670729786427823,1642,1645,,0.02345426673479816
84386,231,1,0.003505898780188227,0.0017057530701131353,-0.0027118158692458483,-1.1090484086651031e-10,-0.01707893895582635,1.5029658520282528e-07,2.3355627092307277e-07,9.393113952883448e-05,0.24282815354790563,1642,1645,,0.003136177823198774
86556,231,1,0.003505898780188227,-0.0046211258722242965,-0.0019078137507255732,-1.4012191407175578e-10,-0.007179782128073686,0.5,,0.00040385822848689856,1.940759929755844,1642,1645,,0.0
32870,231,1,0.003505898780188227,-0.0028291122075882824,-0.004548846685509922,-3.2054632281841577e-09,-0.015144539632157894,0.5,,0.000730454216137427,2.445190024944041,1642,1645,,0.0
28484,231,1,0.003505898780188227,0.01906317871594141,-0.004269839616676041,7.393299241709173e-07,-1.4107544546115847e-05,0.007647429984853738,0.0350867908005152,-5.102884447082606e-05,-0.09332613974495481,1642,1645,,0.01801226366888094
47941,231,1,0.003505898780188227,0.034301565520853186,-0.01674483800028126,-7.09038827650943e-10,-0.0019449403073015237,2.2434955677102391e-07,1.624858739492481e-06,0.000713113954242487,1.337599000789599,1642,1645,,0.018823454266734797
32678,231,1,0.003505898780188227,0.02776598355442809,-0.01315524463462081,-8.25983725860624e-12,-0.0022838382831360526,5.925921441157339e-10,3.2828740064285254e-09,0.0009453424741009995,2.0460598872928766,1642,1645,,0.011401379662749105
91547,231,1,0.003505898780188227,0.0007689234516965452,-1.3606077000405392e-05,0.001492094168511704,-0.010127841678662541,0.5997518238307602,3.901665666031078,0.0005689957342035904,1.3835505635967997,1642,1645,,0.0033820899335717932
