number,value,state,params_lambda,user_attrs_kappa,user_attrs_kappa_tstat,user_attrs_r2_stage1,user_attrs_r2_stage2,user_attrs_score_kappa,user_attrs_score_kappa_tstat,user_attrs_score_stage1_r2,user_attrs_score_stage2_r2
10,0.3243253780156829,COMPLETE,2.5831572131523693e-05,0.018992033056868928,0.9946853031882115,0.9735611294312984,0.0005172292544309842,0.7210350601360405,0.0698014465668043,8.720516008200272e-93,0.5064650053598868
11,0.5900767869595429,COMPLETE,2.2025980990303033e-06,0.0536807362630886,2.639697154543336,0.9737659654314098,0.0033805715343211418,0.9360780955517343,0.882072231028648,7.89521943223933e-93,0.5421568212577893
12,0.3220808843332334,COMPLETE,3.528817447117361e-05,0.01849255535571049,0.9743733775881636,0.9733839798797402,0.0004967705464298255,0.7159841061584623,0.06613011857836217,9.503331782465004e-93,0.5062093125961091
13,0.46964566617131087,COMPLETE,2.5663044767504367e-07,0.034796256507431435,1.9112095695087612,0.9737674614671692,0.0018470917625684757,0.850663289252651,0.5048471253827144,7.889487890171317e-93,0.523072250049878
14,0.59433468629285,COMPLETE,7.097036567734664e-07,0.05353654568312109,2.702797111002843,0.9737673301450936,0.003545330676591907,0.9356453482872605,0.8974924482825812,7.889990838911576e-93,0.5442009486015581
15,0.32654670438069017,COMPLETE,1.2483135089768984e-05,0.019713629998030353,1.0031541120220286,0.9737189616835682,0.0005252772476824763,0.7282340943420371,0.0713871349870329,8.077429146307996e-93,0.5065655881936907
16,0.5845118903928643,COMPLETE,5.930542502860796e-07,0.050954852869750177,2.594886413662489,0.9737673761024973,0.0032866560043831594,0.9274217169713721,0.8696348507877103,7.88981482360009e-93,0.5409909938123748
17,0.5910483396364486,COMPLETE,6.690692254156234e-07,0.05263208258768026,2.6640025292637133,0.9737673473688326,0.0034512407029020364,0.932868078162049,0.888291505715312,7.889924872111105e-93,0.5430337746684335
18,0.348872029642129,COMPLETE,5.450894936779256e-06,0.02435041256089232,1.1863248060378733,0.9737581663667656,0.0007274765095708347,0.7716269317214088,0.11476873294022,7.925166186011542e-93,0.5090924539068872
19,0.4396934133624629,COMPLETE,1.9395443417605525e-07,0.03136803986175341,1.7775381508917656,0.9737674698020174,0.001609701130793173,0.8275556804064672,0.41110756374498936,7.889455969722057e-93,0.5201104092983952
20,0.3644559682459901,COMPLETE,0.0001716880348093638,0.025731122477211838,1.328699069883499,0.9651615387042408,0.000909784007849912,0.7835637070109526,0.1628898264966228,5.039617137306585e-91,0.5113703394763851
21,0.31272966502359484,COMPLETE,0.0005743541693971191,0.017573172611751568,0.7910563608757429,0.8918765885231922,0.00032813624766725447,0.7065441793013387,0.04027286970395389,2.2496257896613897e-76,0.5041016110890869
22,0.3172475826652388,COMPLETE,0.0005430087696458083,0.018616345644203298,0.8479913916649133,0.8996098644455433,0.00037627966940778634,0.7172410649146385,0.0470459086135999,7.368475083237688e-78,0.5047033571327167
23,0.5877097273427125,COMPLETE,6.204060580903229e-07,0.05171004697897279,2.6279937788493104,0.973767366206902,0.0033654087995093063,0.9299226871637744,0.8789475937814032,7.889852723066403e-93,0.5419686284256726
24,0.32967303319582675,COMPLETE,2.2173643955890157e-05,0.020045958102190748,1.0465281607165708,0.9736151815878863,0.0005713493564237782,0.7315101342435343,0.08004061725143825,8.494725604427595e-93,0.5071413812883344
25,0.6115052270876451,COMPLETE,9.63921003167149e-07,0.05923124247557164,2.982077118897221,0.9737671989040888,0.004260628655659127,0.9508071105270102,0.942156443821264,7.890493509117658e-93,0.5530573540023063
26,0.3266787915125899,COMPLETE,1.2264699213354816e-05,0.019748487014146013,1.0040631071412844,0.9737206368355865,0.0005261893435035692,0.7285788833108232,0.07155929531738056,8.070863907926391e-93,0.5065769874221558
27,0.5920211862986082,COMPLETE,1.741075338908987e-06,0.05427804256874079,2.6607199496235023,0.9737665389830538,0.0034300025775320098,0.9378420097716189,0.8874724827887917,7.89302157722755e-93,0.5427702526340225
28,0.5587263585441421,COMPLETE,4.5719061021026134e-07,0.04597461011867502,2.3819775344837146,0.9737674194134529,0.002799867591692373,0.9087718454479163,0.7911922905910745,7.889648947680685e-93,0.5349412981375776
