number,value,state,params_lambda,params_n_lags,params_window_size,user_attrs_kappa,user_attrs_kappa_tstat,user_attrs_r2_stage1,user_attrs_r2_stage2
47,-2.1137154249117884e-09,COMPLETE,5.689539669391822e-05,3,70,3.520485730716574e-08,1.5859612255233116e-06,0.990375886727397,-2.1137154249117884e-09
48,0.00017115974103609766,COMPLETE,0.0006524856814182404,13,390,0.023768402970547144,0.5152246097557149,0.45959989595032685,0.00017115974103609766
49,0.0007126627805619234,COMPLETE,0.005273170164725004,14,140,0.602192785460316,2.7919998144783276,-0.0016871484143216812,0.0007126627805619234
50,-8.505964599336835e-09,COMPLETE,2.921103244679824e-05,13,20,2.5510344714812215e-07,9.454355415518328e-06,0.9553399439005141,-8.505964599336835e-09
51,-8.569035347960607e-08,COMPLETE,0.0020227387754026367,8,110,3.5778114996453097e-06,5.745996726116189e-05,0.18645982872090366,-8.569035347960607e-08
52,-1.5502026329272667e-08,COMPLETE,0.0003105486677148717,8,70,1.1846230516170207e-06,4.351334141894935e-05,0.9633606704366897,-1.5502026329272667e-08
53,-1.5530085217818623e-08,COMPLETE,0.003910827540364241,7,200,4.402834906625658e-05,1.3759376995743544e-05,-0.0017252119572461553,-1.5530085217818623e-08
54,-6.5998317921867056e-12,COMPLETE,0.00011979635593570532,5,140,6.627808304149351e-11,3.067948662976931e-09,0.981531209957486,-6.5998317921867056e-12
55,0.0007159803033226497,COMPLETE,7.351097086377449e-05,22,10,0.025515215602859645,1.1798945638992386,0.8821514428336189,0.0007159803033226497
56,0.0010703335292876481,COMPLETE,8.459886902087835e-05,24,10,0.03151580606656916,1.4509109960782554,0.8822870523159595,0.0010703335292876481
57,0.0005929654843845888,COMPLETE,0.00011420615928933794,21,10,0.02343794187355996,1.0718396175111489,0.8818638902545802,0.0005929654843845888
58,0.0002488963528898269,COMPLETE,0.00010873409261632373,22,10,0.015290187521831422,0.6883776339102404,0.8818609869577666,0.0002488963528898269
59,0.0003607362940863945,COMPLETE,9.336632259010721e-05,22,10,0.018328395721320254,0.8313622964482831,0.8820014723160804,0.0003607362940863945
60,0.000717476691835639,COMPLETE,7.32013045969378e-05,22,10,0.0255365273480203,1.1811505868410384,0.8821535013749424,0.000717476691835639
61,-2.9795677036759116e-10,COMPLETE,2.6387549128681535e-05,24,20,3.419814724421461e-09,1.1748094191201058e-07,0.955363884030371,-2.9795677036759116e-10
62,9.567599689208617e-05,COMPLETE,3.931608487331615e-05,25,10,0.009933596830431551,0.42413453962186143,0.8825712732264253,9.567599689208617e-05
63,0.0009165818896336164,COMPLETE,2.2562796490288233e-05,25,10,0.03571713396084259,1.3492078130650431,0.8826177914825151,0.0009165818896336164
64,-5.585423235032749e-10,COMPLETE,0.006934344314255996,16,210,0.5,,-0.0019545061403761655,-5.585423235032749e-10
65,9.927413885835179e-06,COMPLETE,0.008086722286598895,19,60,0.0490821675386851,0.14065613546752948,-0.0039120223357912475,9.927413885835179e-06
