window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2
500,2,0.0033421137562620455,-0.0006212134100830038,-0.0027545324191999843,-1.617595381420145e-06,-0.0020698432292827196,0.5,,0.00046824700228851126,2.2209127583409454,1386,1387,1285
500,2,0.007088116333636816,-0.0006212134100830038,-0.0027545324191999843,-1.617595381420145e-06,-0.0020698432292827196,0.5,,0.00046824700228851126,2.2209127583409454,1386,1387,1285
500,2,0.004882151906398154,-0.0006212134100830038,-0.0027545324191999843,-1.617595381420145e-06,-0.0020698432292827196,0.5,,0.00046824700228851126,2.2209127583409454,1386,1387,1285
500,2,0.004666076055864927,-0.0006212134100830038,-0.0027545324191999843,-1.617595381420145e-06,-0.0020698432292827196,0.5,,0.00046824700228851126,2.2209127583409454,1386,1387,1285
500,2,0.0029128476281112545,-0.0006212134100830038,-0.0027545324191999843,-1.617595381420145e-06,-0.0020698432292827196,0.5,,0.00046824700228851126,2.2209127583409454,1386,1387,1285
500,2,0.002495243000965273,-0.0006212134100830038,-0.0027545324191999843,-1.617595381420145e-06,-0.0020698432292827196,0.5,,0.00046824700228851126,2.2209127583409454,1386,1387,1285
500,2,0.008777381800309384,-0.0006212134100830038,-0.0027545324191999843,-1.617595381420145e-06,-0.0020698432292827196,0.5,,0.00046824700228851126,2.2209127583409454,1386,1387,1285
500,2,0.002599375081485179,-0.0006212134100830038,-0.0027545324191999843,-1.617595381420145e-06,-0.0020698432292827196,0.5,,0.00046824700228851126,2.2209127583409454,1386,1387,1285
500,2,0.006386137029891565,-0.0006212134100830038,-0.0027545324191999843,-1.617595381420145e-06,-0.0020698432292827196,0.5,,0.00046824700228851126,2.2209127583409454,1386,1387,1285
500,5,0.009416506865542334,-0.0006220121133919352,-0.002758161970467521,-1.617982256396644e-06,-0.002086659754553244,0.5,,0.0004734954604702466,2.2448449260094243,1383,1384,1282
500,5,0.0029128476281112545,-0.0006220121133919352,-0.002758161970467521,-1.617982256396644e-06,-0.002086659754553244,0.5,,0.0004734954604702466,2.2448449260094243,1383,1384,1282
500,5,0.004882151906398154,-0.0006220121133919352,-0.002758161970467521,-1.617982256396644e-06,-0.002086659754553244,0.5,,0.0004734954604702466,2.2448449260094243,1383,1384,1282
500,5,0.006386137029891565,-0.0006220121133919352,-0.002758161970467521,-1.617982256396644e-06,-0.002086659754553244,0.5,,0.0004734954604702466,2.2448449260094243,1383,1384,1282
500,5,0.004666076055864927,-0.0006220121133919352,-0.002758161970467521,-1.617982256396644e-06,-0.002086659754553244,0.5,,0.0004734954604702466,2.2448449260094243,1383,1384,1282
500,5,0.002495243000965273,-0.0006220121133919352,-0.002758161970467521,-1.617982256396644e-06,-0.002086659754553244,0.5,,0.0004734954604702466,2.2448449260094243,1383,1384,1282
500,5,0.008777381800309384,-0.0006220121133919352,-0.002758161970467521,-1.617982256396644e-06,-0.002086659754553244,0.5,,0.0004734954604702466,2.2448449260094243,1383,1384,1282
500,5,0.002599375081485179,-0.0006220121133919352,-0.002758161970467521,-1.617982256396644e-06,-0.002086659754553244,0.5,,0.0004734954604702466,2.2448449260094243,1383,1384,1282
500,5,0.007088116333636816,-0.0006220121133919352,-0.002758161970467521,-1.617982256396644e-06,-0.002086659754553244,0.5,,0.0004734954604702466,2.2448449260094243,1383,1384,1282
500,5,0.0033421137562620455,-0.0006220121133919352,-0.002758161970467521,-1.617982256396644e-06,-0.002086659754553244,0.5,,0.0004734954604702466,2.2448449260094243,1383,1384,1282
100,7,0.009416506865542334,-0.00439763526242403,-0.0019505053793189564,-8.406563212215445e-07,-0.002089449893647455,0.5,,0.00046109500534914725,2.086819219247663,1781,1782,1680
100,7,0.008777381800309384,-0.00439763526242403,-0.0019505053793189564,-8.406563212215445e-07,-0.002089449893647455,0.5,,0.00046109500534914725,2.086819219247663,1781,1782,1680
500,7,0.009416506865542334,-0.000622544742932516,-0.0027613879327879065,-5.447585937901067e-09,-0.002100397410720989,0.5,,0.00046252496563992595,2.1925244039601357,1381,1382,1280
500,7,0.006386137029891565,-0.000622544742932516,-0.0027613879327879065,-5.447585937901067e-09,-0.002100397410720989,0.5,,0.00046252496563992595,2.1925244039601357,1381,1382,1280
500,7,0.0033421137562620455,-0.000622544742932516,-0.0027613879327879065,-5.447585937901067e-09,-0.002100397410720989,0.5,,0.00046252496563992595,2.1925244039601357,1381,1382,1280
500,7,0.002599375081485179,-0.000622544742932516,-0.0027613879327879065,-5.447585937901067e-09,-0.002100397410720989,0.5,,0.00046252496563992595,2.1925244039601357,1381,1382,1280
500,7,0.008777381800309384,-0.000622544742932516,-0.0027613879327879065,-5.447585937901067e-09,-0.002100397410720989,0.5,,0.00046252496563992595,2.1925244039601357,1381,1382,1280
500,7,0.002495243000965273,-0.000622544742932516,-0.0027613879327879065,-5.447585937901067e-09,-0.002100397410720989,0.5,,0.00046252496563992595,2.1925244039601357,1381,1382,1280
500,7,0.0029128476281112545,-0.000622544742932516,-0.0027613879327879065,-5.447585937901067e-09,-0.002100397410720989,0.5,,0.00046252496563992595,2.1925244039601357,1381,1382,1280
500,7,0.007088116333636816,-0.000622544742932516,-0.0027613879327879065,-5.447585937901067e-09,-0.002100397410720989,0.5,,0.00046252496563992595,2.1925244039601357,1381,1382,1280
500,7,0.004882151906398154,-0.000622544742932516,-0.0027613879327879065,-5.447585937901067e-09,-0.002100397410720989,0.5,,0.00046252496563992595,2.1925244039601357,1381,1382,1280
500,7,0.004666076055864927,-0.000622544742932516,-0.0027613879327879065,-5.447585937901067e-09,-0.002100397410720989,0.5,,0.00046252496563992595,2.1925244039601357,1381,1382,1280
500,6,0.009416506865542334,-0.0006222541719210302,-0.0027633850083339517,-2.4136701748389555e-08,-0.0021250212351755504,0.5,,0.00046252496563992595,2.19411336562536,1382,1383,1281
500,6,0.0033421137562620455,-0.0006222541719210302,-0.0027633850083339517,-2.4136701748389555e-08,-0.0021250212351755504,0.5,,0.00046252496563992595,2.19411336562536,1382,1383,1281
