PERMNO	TICKER	COMNAM	PERMCO
10597	FEP	FRANKLIN ELECTRONIC PUBLSHS INC	8500
10606	WTS	WATTS WATER TECHNOLOGIES INC	8508
10629	FNB	F N B CORP PA	8534
10638	HNBC	HARLEYSVILLE NATIONAL CORP PA	8544
10644	TGX	THERAGENICS CORP	8548
10645	LAKE	LAKELAND INDUSTRIES INC	8549
10649	PTSI	P A M TRANSPORTATION SVCS INC	8551
10656	ACET	ACETO CORP	37
10659	BRLI	BIO REFERENCE LABORATORIES INC	8563
10661	CYAN	CYANOTECH CORP	8565
10667	FSYS	FUEL SYSTEMS SOLUTIONS INC	8570
10693	HLS	HEALTHSOUTH CORP	8596
10696	FISV	FISERV INC	8598
10769	CEBK	CENTRAL BANCORP INC	8665
10772	SED	S E D INTERNATIONAL HOLDINGS INC	8668
10777	FCNCA	FIRST CITIZENS BANCSHARES INC NC	8674
10779	RWC	RELM WIRELESS CORP	65
10781	BKSC	BANK SOUTH CAROLINA CORP	8677
10785	CAMD	CALIFORNIA MICRO DEVICES CORP	8681
10812	HTLD	HEARTLAND EXPRESS INC	8702
10822	GAN	GAINSCO INC	8710
10825	TSFG	SOUTH FINL GROUP INC	8711
10838	CYTR	CYTRX CORP	8721
10853	RENT	RENTRAK CORP	8738
10860	OSUR	ORASURE TECHNOLOGIES INC	8743
10866	BWS	BROWN SHOE CO INC NEW	20342
10866	CAL	CALERES INC	20342
10874	BC	BRUNSWICK CORP	20344
10886	DXYN	DIXIE GROUP INC	8762
10890	UIS	UNISYS CORP	21814
10892	WSFS	WSFS FINANCIAL CORP	8766
10901	ITIC	INVESTORS TITLE CO	8778
10909	CERN	CERNER CORP	8786
10913	FFKT	FARMERS CAPITAL BANK CORP	8788
10924	FPB	FOUNTAIN POWERBOAT INDS INC	8801
10932	WBS	WEBSTER FINANCIAL CORP	8810
10933	MKL	MARKEL CORP	8811
10942	CMVT	COMVERSE TECHNOLOGY INC	8818
10952	CDR	CEDAR SHOPPING CENTERS INC	8826
10966	AXGN	AXOGEN INC	8839
10994	NXXI	NUTRITION 21 INC	8527
11003	CHKM	CHESAPEAKE MIDSTREAM PTNRS L P	53459
11003	ACMP	ACCESS MIDSTREAM PARTNERS L P	53459
11003	WPZ	WILLIAMS PARTNERS LP NEW	53459
11006	FLIC	FIRST LONG ISLAND CORP	8879
11018	FBP	FIRST BANCORP P R	8889
11038	NWK	NETWORK EQUIPMENT TECHNOLOGIES	8908
11043	PMD	PSYCHEMEDICS CORP	8909
11048	EPG	ENVIRONMENTAL POWER CORP	8915
11056	STSA	STERLING FINANCIAL CORP WASH	8926
11061	FCGS	DIREXION SHARES E T F TRUST	53101
11061	GASX	DIREXION SHARES E T F TRUST	53101
11077	ASMI	A S M INTERNATIONAL N V	374
11081	DELL	DELL INC	9833
11131	ASBI	AMERIANA BANCORP	8990
11132	SYNO	SYNOVIS LIFE TECHNOLOGIES INC	8958
11137	PARL	PARLUX FRAGRANCES INC	8995
11144	AVD	AMERICAN VANGUARD CORP	9002
11154	PLAB	PHOTRONICS INC	9010
11157	AIM	AEROSONIC CORP DEL	376
11161	JEN	JENNIFER CONVERTIBLES INC	9013
11162	MESA	MESA AIR GROUP INC NEV	9014
11174	CRMT	AMERICAS CAR MART INC	9023
11182	FCGL	DIREXION SHARES E T F TRUST	53101
11182	GASL	DIREXION SHARES E T F TRUST	53101
11196	RETS	DIREXION SHARES E T F TRUST	53101
11203	AGII	ARGO GROUP INTL HLDGS LTD	9053
11208	OFG	ORIENTAL FINANCIAL GROUP INC	9058
11246	CFNB	CALIFORNIA FIRST NATIONAL BANCOR	9096
11264	RETL	DIREXION SHARES E T F TRUST	53101
11267	CTR	CATO CORP NEW	9117
11267	CATO	CATO CORP NEW	9117
11285	FBNC	FIRST BANCORP NC	9141
11292	ICCC	IMMUCELL CORP	9146
11293	WSBC	WESBANCO INC	9147
11306	AAII	ALABAMA AIRCRAFT INDUSTRIES INC	9158
