stock,window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2,avg_selection_rate,eff_lambda,stock_vol
84385,231,1,0.0041724664906103584,0.0028142681112372633,-0.002956331019304148,-1.8705606841251665e-08,-0.0009008695250558585,5.999720318200334e-05,0.00012936608679266524,0.000874274137971505,1.834894753721939,1642,1645,,0.004289090444557997,0.0041724664906103584,0.02082723095096346
27909,231,1,0.0044949287740471385,0.003044837098278978,-0.0014506580797875035,-1.9365029579887505e-09,-4.877773307487843e-06,1.6171689001029778e-06,3.566759341400511e-06,0.0009649878118440155,1.9415860324411485,1642,1645,,0.004107051609606541,0.0044949287740471385,0.02243682960567439
84781,231,1,0.0015010888498335603,0.005256529154634456,-0.005189359059108112,-8.545204543963791e-10,-0.002028239715399005,3.0335979857298856e-07,6.100466648997564e-07,0.0003869110298592754,2.1463313954841743,1642,1645,,0.0055473939703628,0.0015010888498335603,0.007492816113383901
86754,231,1,0.0015281979798761833,0.007188046675612058,-0.0015756211301123368,0.00047844294103560614,-0.0012203279625246921,0.24273148575160405,1.1696803513134917,0.0003612307471116412,1.9415908351964053,1642,1645,,0.0057837250894225865,0.0015281979798761833,0.007628133703962038
39731,231,1,0.008008500657217395,0.002080649118797305,-0.0020484902840525177,0.0007621815464025072,-0.0044551026023313955,0.4249274119065633,1.945493836766235,0.0018645833338014348,1.979822205654653,1642,1645,,0.004202861522738886,0.008008500657217395,0.0399751305694513
88310,231,1,0.004212178767048329,0.00780251592009287,0.0006895747943708175,-3.1140534595408553e-10,-6.856032179447524e-05,4.224601359040193e-07,1.0296109516827095e-06,0.0008086898232387266,1.6183546001241937,1642,1645,,0.006844021461420541,0.004212178767048329,0.021025458247653176
90312,231,1,0.004877539805776824,0.003082076896039115,-0.006769430710407587,0.0008861088944485118,-0.00042784692862074536,0.2695688784272722,1.652696081490045,0.0010020738197908507,1.7683711008797056,1642,1645,,0.004519034236075626,0.004877539805776824,0.024346665991455612
77120,231,1,0.003335448876455359,0.010444464427393111,0.0005137227427999269,0.0009688698009900909,0.00046604227122049036,0.272737864856725,1.7323493456050412,0.0006977131446129665,1.8173700519740772,1642,1645,,0.007348620337250894,0.003335448876455359,0.016649184416794534
92854,231,1,0.00420568703928028,0.005292203817292546,-0.0032672160153399687,-1.347579825505818e-10,-6.545494352305781e-06,3.784208601025616e-08,7.80404148848798e-08,0.00028885984155117475,0.5886530240148192,1642,1645,,0.0038164282064384264,0.00420568703928028,0.020993054221449443
90340,231,1,0.003675426301819783,0.022012138243441358,-0.010293687285648057,0.0011806180865401306,-0.18712825271936606,0.15621231863268062,1.651605632702256,0.0002062803168799515,0.43850905164871723,1642,1645,,0.01696154828819622,0.003675426301819783,0.01834621143237711
