permno,sector,own_rate,other_rate,diff
90680,Financials,0.016290141,0.006201662,0.010088479
90269,Financials,0.007421584,0.0047960896,0.0026254943
90793,Energy & Mining,0.0092030745,0.006717629,0.0024854457
82311,Financials,0.007935026,0.004374417,0.0035606087
88953,Financials,0.01605676,0.0075043878,0.0085523715
81067,Utilities & Telecom,0.001618123,0.0054027564,-0.0037846332
89014,Industrials,0.0026294498,0.0061603,-0.0035308504
47677,Utilities & Telecom,0.0006067961,0.004623981,-0.004017185
92355,Financials,0.017457059,0.0045732544,0.012883805
78186,Energy & Mining,0.0013147249,0.00881833,-0.0075036054
89733,Financials,0.02431852,0.0077683614,0.01655016
77239,Financials,0.015963407,0.00819689,0.007766517
88897,Industrials,0.0084951455,0.0056590335,0.002836112
91858,Financials,0.00732823,0.003294526,0.0040337043
51263,Industrials,0.01992314,0.005279786,0.014643353
44206,Utilities & Telecom,0.0,0.0046791444,-0.0046791444
43837,Financials,0.0019604182,0.0076723713,-0.005711953
83835,Financials,0.024411876,0.0065856236,0.017826252
52898,Utilities & Telecom,0.0,0.004792716,-0.004792716
92891,Financials,9.335325e-05,0.0041687232,-0.00407537
89444,Industrials,0.014461975,0.0061767884,0.008285186
16548,Financials,0.004294249,0.005368603,-0.0010743537
93031,Energy & Mining,0.00940534,0.018154416,-0.008749076
87541,Industrials,0.0,0.0033044005,-0.0033044005
60580,Industrials,0.00040453076,0.0059723244,-0.0055677937
77730,Consumer,0.008191748,0.0027705913,0.005421156
27422,Energy & Mining,0.0066747577,0.0103023425,-0.0036275848
75049,Financials,0.01134242,0.0058177,0.00552472
21776,Utilities & Telecom,0.0,0.003472042,-0.003472042
56653,Financials,0.020584391,0.0055845813,0.014999811
86128,Consumer,0.0003792476,0.0040141903,-0.0036349427
80432,Consumer,0.005764563,0.002017097,0.003747466
77496,Consumer,0.0,0.007271552,-0.007271552
15720,Utilities & Telecom,0.0,0.0033941646,-0.0033941646
79037,Consumer,0.0007584951,0.005174437,-0.004415942
84767,Financials,0.016523525,0.007531814,0.008991711
92128,Financials,0.016756909,0.0060405354,0.010716373
12431,Industrials,0.020226538,0.007947709,0.012278829
92405,Financials,0.007888349,0.0067981733,0.0010901755
80200,Financials,0.009428678,0.003993884,0.005434794
88233,Healthcare,0.00030339806,0.0050794706,-0.0047760727
49330,Financials,0.011109037,0.007860923,0.0032481141
92144,Utilities & Telecom,0.001618123,0.0072685736,-0.0056504505
68929,Financials,0.022638163,0.006750178,0.015887985
77066,Financials,0.015683345,0.0055297296,0.010153616
46392,Financials,0.014609783,0.004933218,0.0096765645
76282,Consumer,0.00030339806,0.0031773446,-0.0028739464
90164,Financials,0.009428678,0.0040007406,0.0054279375
83597,Technology,0.0026294498,0.007251873,-0.004622423
75268,Financials,0.0050877524,0.007528386,-0.0024406337
86799,Energy & Mining,0.0033373786,0.008257703,-0.0049203243
77520,Industrials,0.0005056634,0.00757176,-0.0070660966
49656,Financials,0.009755414,0.007202705,0.002552709
87214,Utilities & Telecom,0.003843042,0.0055195736,-0.0016765315
75064,Healthcare,0.0022754855,0.004935927,-0.0026604417
90038,Financials,0.0061146375,0.004508118,0.0016065193
86228,Utilities & Telecom,0.003843042,0.007914308,-0.0040712664
62308,Financials,0.0108289765,0.005711426,0.0051175505
92149,Financials,0.001120239,0.007583237,-0.0064629978
80711,Financials,0.015123225,0.0067638913,0.0083593335
76558,Financials,0.011529126,0.0037744776,0.0077546486
89138,Financials,0.0018203884,0.0026363065,-0.0008159181
45751,Financials,0.02739918,0.0057011405,0.021698039
64390,Financials,0.015776698,0.00668847,0.0090882275
85916,Financials,0.017130323,0.00711357,0.010016752
47626,Financials,0.009288648,0.005869124,0.003419524
79236,Financials,0.000373413,0.004748094,-0.004374681
76572,Financials,0.0043876027,0.0064450656,-0.002057463
85602,Industrials,0.0006067961,0.009903308,-0.009296512
89537,Financials,0.00028005976,0.006856453,-0.0065763933
11955,Utilities & Telecom,0.0,0.007872125,-0.007872125
92621,Energy & Mining,0.03013754,0.017151885,0.012985656
