"DATE","vwretx","sprtrn"
"2011-03-04",-0.005915,-0.007378
"2011-03-07",-0.009434,-0.008341
"2011-03-08",0.007935,0.008923
"2011-03-09",-0.002585,-0.001362
"2011-03-10",-0.019797,-0.018871
"2011-03-11",0.006646,0.00708
"2011-03-14",-0.005528,-0.006049
"2011-03-15",-0.011176,-0.0112
"2011-03-16",-0.016693,-0.019495
"2011-03-17",0.012185,0.013398
"2011-03-18",0.004816,0.004302
"2011-03-21",0.016423,0.014994
"2011-03-22",-0.003326,-0.003551
"2011-03-23",0.002858,0.002914
"2011-03-24",0.00849,0.009341
"2011-03-25",0.003079,0.003161
"2011-03-28",-0.003339,-0.002748
"2011-03-29",0.00692,0.00706
"2011-03-30",0.008133,0.006685
"2011-03-31",-0.000595,-0.001829
"2011-04-01",0.005335,0.004963
"2011-04-04",0.001078,0.000345
"2011-04-05",0.001316,-0.00018
"2011-04-06",0.001471,0.002184
"2011-04-07",-0.002298,-0.00152
"2011-04-08",-0.003393,-0.004004
"2011-04-11",-0.004752,-0.002793
"2011-04-12",-0.009266,-0.007777
"2011-04-13",0.001175,0.00019
"2011-04-14",0.000527,8.4e-05
"2011-04-15",0.003962,0.003925
"2011-04-18",-0.011631,-0.011018
"2011-04-19",0.005677,0.005731
"2011-04-20",0.014251,0.013515
"2011-04-21",0.005835,0.005277
"2011-04-25",-0.001863,-0.001593
"2011-04-26",0.008134,0.00898
"2011-04-27",0.005966,0.00625
"2011-04-28",0.002846,0.003555
"2011-04-29",0.003099,0.002301
"2011-05-02",-0.003608,-0.001753
"2011-05-03",-0.006661,-0.003379
"2011-05-04",-0.008156,-0.006855
"2011-05-05",-0.009529,-0.00907
"2011-05-06",0.004514,0.00382
"2011-05-09",0.006141,0.004544
"2011-05-10",0.008435,0.008074
"2011-05-11",-0.012692,-0.011111
"2011-05-12",0.003934,0.004895
"2011-05-13",-0.00895,-0.008067
"2011-05-16",-0.007007,-0.006204
"2011-05-17",-0.000832,-0.000369
"2011-05-18",0.010601,0.008804
"2011-05-19",0.002271,0.002178
"2011-05-20",-0.006822,-0.007688
"2011-05-23",-0.013034,-0.011926
"2011-05-24",-0.000411,-0.000827
"2011-05-25",0.005024,0.003183
"2011-05-26",0.005158,0.003953
"2011-05-27",0.004893,0.004081
"2011-05-31",0.010274,0.010593
"2011-06-01",-0.023209,-0.022785
"2011-06-02",-0.000671,-0.001225
"2011-06-03",-0.009334,-0.009734
"2011-06-06",-0.012489,-0.01076
"2011-06-07",0.000249,-0.000956
"2011-06-08",-0.006147,-0.004187
"2011-06-09",0.007446,0.007378
"2011-06-10",-0.014092,-0.01398
"2011-06-13",-0.001261,0.000669
"2011-06-14",0.013814,0.012612
"2011-06-15",-0.017359,-0.017432
"2011-06-16",-0.00024,0.001754
"2011-06-17",0.002101,0.003045
"2011-06-20",0.005329,0.005395
"2011-06-21",0.015788,0.013423
"2011-06-22",-0.005635,-0.006468
"2011-06-23",-0.00261,-0.002828
"2011-06-24",-0.010617,-0.011726
"2011-06-27",0.008068,0.009184
"2011-06-28",0.013437,0.012944
"2011-06-29",0.008641,0.008283
"2011-06-30",0.009664,0.010119
"2011-07-01",0.013326,0.01441
"2011-07-05",-6.2e-05,-0.001336
"2011-07-06",0.000898,0.001002
"2011-07-07",0.010578,0.010454
"2011-07-08",-0.006346,-0.006961
"2011-07-11",-0.019373,-0.01809
"2011-07-12",-0.00382,-0.004434
"2011-07-13",0.004898,0.003106
"2011-07-14",-0.008067,-0.006716
"2011-07-15",0.006167,0.005554
"2011-07-18",-0.009518,-0.00813
"2011-07-19",0.016162,0.016309
"2011-07-20",-3.9e-05,-0.000671
"2011-07-21",0.012208,0.013546
"2011-07-22",0.001381,0.000908
"2011-07-25",-0.006285,-0.005643
"2011-07-26",-0.004544,-0.004105
"2011-07-27",-0.021734,-0.020309
"2011-07-28",-0.00305,-0.003234
"2011-07-29",-0.005649,-0.006451
"2011-08-01",-0.003649,-0.004132
"2011-08-02",-0.025683,-0.025557
"2011-08-03",0.004643,0.005016
"2011-08-04",-0.050424,-0.04782
"2011-08-05",-0.004816,-0.000575
"2011-08-08",-0.068815,-0.066634
"2011-08-09",0.051209,0.047407
"2011-08-10",-0.038927,-0.044152
"2011-08-11",0.045066,0.04629
"2011-08-12",0.004733,0.005262
"2011-08-15",0.022736,0.021785
"2011-08-16",-0.011042,-0.009739
"2011-08-17",0.000637,0.000947
"2011-08-18",-0.045383,-0.044594
"2011-08-19",-0.015401,-0.015009
"2011-08-22",2e-06,0.000258
"2011-08-23",0.033752,0.034285
"2011-08-24",0.011455,0.01312
"2011-08-25",-0.01592,-0.015566
"2011-08-26",0.016333,0.015122
"2011-08-29",0.029525,0.02828
"2011-08-30",0.003573,0.002347
"2011-08-31",0.004999,0.004922
"2011-09-01",-0.012228,-0.011871
"2011-09-02",-0.02468,-0.025282
"2011-09-06",-0.00819,-0.007436
"2011-09-07",0.028977,0.028646
"2011-09-08",-0.01093,-0.010612
"2011-09-09",-0.026609,-0.026705
"2011-09-12",0.004082,0.006966
"2011-09-13",0.010439,0.00912
"2011-09-14",0.012764,0.01348
"2011-09-15",0.015347,0.017187
"2011-09-16",0.00348,0.005707
"2011-09-19",-0.010961,-0.009803
"2011-09-20",-0.004146,-0.001661
"2011-09-21",-0.029503,-0.02939
"2011-09-22",-0.034439,-0.031883
"2011-09-23",0.005627,0.006082
"2011-09-26",0.021551,0.023336
"2011-09-27",0.012841,0.010688
"2011-09-28",-0.02401,-0.020691
"2011-09-29",0.008179,0.008114
"2011-09-30",-0.024678,-0.024974
"2011-10-03",-0.032032,-0.028451
"2011-10-04",0.023574,0.022488
"2011-10-05",0.019319,0.017866
"2011-10-06",0.020491,0.018304
"2011-10-07",-0.010969,-0.008163
"2011-10-10",0.034277,0.034125
"2011-10-11",0.001034,0.000544
"2011-10-12",0.011671,0.009795
"2011-10-13",-0.003025,-0.002974
"2011-10-14",0.017732,0.01738
"2011-10-17",-0.020887,-0.01937
"2011-10-18",0.020791,0.020419
"2011-10-19",-0.014286,-0.012649
"2011-10-20",0.003871,0.004554
"2011-10-21",0.019243,0.018809
"2011-10-24",0.016744,0.012873
