PERMNO,date,NCUSIP,TICKER,COMNAM,PERMCO,CUSIP
19505,2024-12-30,47074L10,JAMF,JAMF HOLDING CORP,57142,47074L10
19505,2024-12-31,47074L10,JAMF,JAMF HOLDING CORP,57142,47074L10
19506,2024-12-30,92538J10,VERX,VERTEX INC,57143,92538J10
19506,2024-12-31,92538J10,VERX,VERTEX INC,57143,92538J10
19507,2024-12-30,00326W10,ASGI,ABRDN GLOBAL INFRA INCOME FUND,57144,00326W10
19507,2024-12-31,00326W10,ASGI,ABRDN GLOBAL INFRA INCOME FUND,57144,00326W10
19508,2024-12-30,00888H30,JULT,A I M E T F PRODUCTS TRUST,57097,00888H30
19508,2024-12-31,00888H30,JULT,A I M E T F PRODUCTS TRUST,57097,00888H30
19509,2024-12-30,00888H40,JULW,A I M E T F PRODUCTS TRUST,57097,00888H40
19509,2024-12-31,00888H40,JULW,A I M E T F PRODUCTS TRUST,57097,00888H40
19512,2024-12-30,02507275,ACLC,AMERICAN CENTURY E T F TRUST,56215,02507275
19512,2024-12-31,02507275,ACLC,AMERICAN CENTURY E T F TRUST,56215,02507275
19513,2024-12-30,02507276,MID,AMERICAN CENTURY E T F TRUST,56215,02507276
19513,2024-12-31,02507276,MID,AMERICAN CENTURY E T F TRUST,56215,02507276
19514,2024-12-30,11285B10,BEPC,BROOKFIELD RENEWABLE CORP NEW,57146,11285B10
19514,2024-12-31,11285B10,BEPC,BROOKFIELD RENEWABLE CORP NEW,57146,11285B10
19516,2024-12-30,33740F69,DJUL,FIRST TRUST E T F VIII,55693,33740F69
19516,2024-12-31,33740F69,DJUL,FIRST TRUST E T F VIII,55693,33740F69
19517,2024-12-30,33740F78,MMLG,FIRST TRUST E T F VIII,55693,33740F78
19517,2024-12-31,33740F78,MMLG,FIRST TRUST E T F VIII,55693,33740F78
19518,2024-12-30,33740U20,FJUL,FIRST TRUST E T F VIII,55693,33740U20
19518,2024-12-31,33740U20,FJUL,FIRST TRUST E T F VIII,55693,33740U20
19520,2024-12-30,35473P49,FLUD,FRANKLIN TEMPLETON E T F TRUST,55598,35473P49
19520,2024-12-31,35473P49,FLUD,FRANKLIN TEMPLETON E T F TRUST,55598,35473P49
19524,2024-12-30,38149W50,GSIG,GOLDMAN SACHS E T F TRUST,55415,38149W50
19524,2024-12-31,38149W50,GSIG,GOLDMAN SACHS E T F TRUST,55415,38149W50
19525,2024-12-30,45782C27,NJUL,INNOVATOR E T F S TRUST,55239,45782C27
19525,2024-12-31,45782C27,NJUL,INNOVATOR E T F S TRUST,55239,45782C27
19526,2024-12-30,45782C28,KJUL,INNOVATOR E T F S TRUST,55239,45782C28
19526,2024-12-31,45782C28,KJUL,INNOVATOR E T F S TRUST,55239,45782C28
19527,2024-12-30,45826T50,ITRG,INTEGRA RESOURCES CORP,57151,45826T50
19527,2024-12-31,45826T50,ITRG,INTEGRA RESOURCES CORP,57151,45826T50
19531,2024-12-30,50076767,KRBN,KRANESHARES TRUST,54464,50076767
19531,2024-12-31,50076767,KRBN,KRANESHARES TRUST,54464,50076767
19532,2024-12-30,53656F66,JULZ,LISTED FUNDS TRUST,56315,53656F66
19532,2024-12-31,53656F66,JULZ,LISTED FUNDS TRUST,56315,53656F66
19533,2024-12-30,12415510,BFLY,BUTTERFLY NETWORK INC,57079,12415510
19533,2024-12-31,12415510,BFLY,BUTTERFLY NETWORK INC,57079,12415510
19534,2024-12-30,61511110,MEG,MONTROSE ENVIRONMENTAL GROUP INC,57152,61511110
19534,2024-12-31,61511110,MEG,MONTROSE ENVIRONMENTAL GROUP INC,57152,61511110
19535,2024-12-30,66538H39,RISN,NORTHERN LIGHTS FUND TR IV,55860,66538H39
19535,2024-12-31,66538H39,RISN,NORTHERN LIGHTS FUND TR IV,55860,66538H39
19536,2024-12-30,78468R53,EFIV,SPDR SERIES TRUST,39147,78468R53
19536,2024-12-31,78468R53,EFIV,SPDR SERIES TRUST,39147,78468R53
19540,2024-12-30,01981810,ALVR,ALLOVIR INC,57160,01981810
19540,2024-12-31,01981810,ALVR,ALLOVIR INC,57160,01981810
19541,2024-12-30,92847W10,VITL,VITAL FARMS INC,57161,92847W10
19541,2024-12-31,92847W10,VITL,VITAL FARMS INC,57161,92847W10
19542,2024-12-30,00166B10,ALXO,ALX ONCOLOGY HOLDINGS INC,57164,00166B10
19542,2024-12-31,00166B10,ALXO,ALX ONCOLOGY HOLDINGS INC,57164,00166B10
19544,2024-12-30,03589W10,ANNX,ANNEXON INC,57166,03589W10
19544,2024-12-31,03589W10,ANNX,ANNEXON INC,57166,03589W10
19549,2024-12-30,67054R20,NUKK,NUKKLEUS INC,57114,67054R20
19549,2024-12-31,67054R20,NUKK,NUKKLEUS INC,57114,67054R20
19550,2024-12-30,37954Y28,EDOC,GLOBAL X FUNDS,53120,37954Y28
19550,2024-12-31,37954Y28,EDOC,GLOBAL X FUNDS,53120,37954Y28
19551,2024-12-30,G8211A10,EDTK,SKILLFUL CRAFTSMAN EDU TECH,57169,G8211A10
19551,2024-12-31,G8211A10,EDTK,SKILLFUL CRAFTSMAN EDU TECH,57169,G8211A10
19555,2024-12-30,31189V10,FTHM,FATHOM HOLDINGS INC,57172,31189V10
19555,2024-12-31,31189V10,FTHM,FATHOM HOLDINGS INC,57172,31189V10
19556,2024-12-30,87427V10,TALK,TALKSPACE INC,57121,87427V10
19556,2024-12-31,87427V10,TALK,TALKSPACE INC,57121,87427V10
19557,2024-12-30,46436E59,IBTK,ISHARES TRUST,37493,46436E59
19557,2024-12-31,46436E59,IBTK,ISHARES TRUST,37493,46436E59
19558,2024-12-30,N4444510,IMTX,IMMATICS N V,57174,N4444510
19558,2024-12-31,N4444510,IMTX,IMMATICS N V,57174,N4444510
19559,2024-12-30,45790W10,INZY,INOZYME PHARMA INC,57175,45790W10
19559,2024-12-31,45790W10,INZY,INOZYME PHARMA INC,57175,45790W10
19560,2024-12-30,46565G10,ITOS,ITEOS THERAPEUTICS INC,57176,46565G10
19560,2024-12-31,46565G10,ITOS,ITEOS THERAPEUTICS INC,57176,46565G10
19561,2024-12-30,09702310,BA,BOEING CO,20315,09702310
19561,2024-12-31,09702310,BA,BOEING CO,20315,09702310
19563,2024-12-30,46124U10,IVA,INVENTIVA S A,57177,46124U10
19563,2024-12-31,46124U10,IVA,INVENTIVA S A,57177,46124U10
19564,2024-12-30,50202M10,LI,LI AUTO INC,57178,50202M10
19564,2024-12-31,50202M10,LI,LI AUTO INC,57178,50202M10
19565,2024-12-30,63947X10,NCNO,NCINO INC NEW,57180,63947X10
19565,2024-12-31,63947X10,NCNO,NCINO INC NEW,57180,63947X10
19566,2024-12-30,67080M10,NRIX,NURIX THERAPEUTICS INC,57182,67080M10
19566,2024-12-31,67080M10,NRIX,NURIX THERAPEUTICS INC,57182,67080M10
19568,2024-12-30,73730P10,PSTX,POSEIDA THERAPEUTICS INC,57185,73730P10
19568,2024-12-31,73730P10,PSTX,POSEIDA THERAPEUTICS INC,57185,73730P10
19569,2024-12-30,74841Q20,QH,QUHUO LTD,57186,74841Q20
19569,2024-12-31,74841Q20,QH,QUHUO LTD,57186,74841Q20
19574,2024-12-30,G9440A10,VSTA,VASTA PLATFORM LTD,57191,G9440A10
19574,2024-12-31,G9440A10,VSTA,VASTA PLATFORM LTD,57191,G9440A10
19575,2024-12-30,08975P10,BIGC,BIGCOMMERCE HOLDINGS INC,57192,08975P10
19575,2024-12-31,08975P10,BIGC,BIGCOMMERCE HOLDINGS INC,57192,08975P10
19576,2024-12-30,75010210,RXT,RACKSPACE TECHNOLOGY INC,57193,75010210
19576,2024-12-31,75010210,RXT,RACKSPACE TECHNOLOGY INC,57193,75010210
19577,2024-12-30,77311W10,RKT,ROCKET COMPANIES INC,57194,77311W10
19577,2024-12-31,77311W10,RKT,ROCKET COMPANIES INC,57194,77311W10
19579,2024-12-30,02875D10,AOUT,AMERICAN OUTDOOR BRANDS INC,57196,02875D10
19579,2024-12-31,02875D10,AOUT,AMERICAN OUTDOOR BRANDS INC,57196,02875D10
19583,2024-12-30,G491BT10,IVZ,INVESCO LTD,30929,G491BT10
19583,2024-12-31,G491BT10,IVZ,INVESCO LTD,30929,G491BT10
19584,2024-12-30,Y5847312,MAXN,MAXEON SOLAR TECHNOLOGIES LTD,57200,Y5847312
