stock,window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2,return_variance,failed
90371,20,1,5.783055944698348e-07,0.9499586713180279,-0.6984053271370856,-2.227107387398064e-12,-0.0004290027254902906,4.935041788442091e-11,2.279132400858415e-09,0.00042243058166256203,0.5401444536473097,1863,1866,,0.0011363833495677386,True
90373,20,1,5.783055944698348e-07,0.9417170652611092,-0.5630872372908107,-9.063330086434007e-10,-0.00216375168205718,1.7519537260326552e-08,7.221745866867659e-07,0.0006552725701032795,1.8520920928173004,1863,1866,,0.0002327529271455638,True
90376,20,1,5.783055944698348e-07,0.9447055223623938,-0.569037437116575,-3.828676931050268e-09,-0.0004634526864566446,7.829022931356543e-08,3.328690976399762e-06,0.00039012362406279236,1.7640682083431622,1863,1866,,9.493387121006236e-05,True
90384,20,1,5.783055944698348e-07,0.9516634664262575,-0.9418442619121341,-1.7178198863376792e-09,-0.011168427291989858,6.091947196254136e-07,3.300083260158926e-05,-0.0011777005519068527,-1.0594256014974417,1863,1866,,0.0023054437070955144,True
90386,20,1,5.783055944698348e-07,0.9479829592632264,-0.6273148456353679,-3.6522940227712297e-10,-0.0008948096349890022,1.701702476137328e-07,7.35594661464126e-06,-0.000420355565410528,-0.8267963849586588,1863,1866,,0.00048649696448551316,True
90387,20,1,5.783055944698348e-07,0.9405179754919094,-0.7441278196511134,-3.792334890562188e-09,-0.0007006312516220081,5.603750004268374e-08,2.7411995482292276e-06,-0.0005538221573778094,-0.6294461524422945,1863,1866,,0.0014300812252916618,True
90389,20,1,5.783055944698348e-07,0.9667351724952375,-0.6498751730729866,-6.676148522899439e-10,-0.00021904931660654547,1.1169240803290693e-08,4.853975380671763e-07,0.00040881730221088117,1.9590153031068698,1863,1866,,8.133125010895346e-05,True
90390,20,1,5.783055944698348e-07,0.9432360914683265,-0.5755829629653639,-7.256569345415187e-09,-0.00909569798488552,2.069280748146224e-06,9.232246236858424e-05,0.0004542757803728366,2.2745391365919625,1863,1866,,7.673832730832872e-05,True
90392,20,1,5.783055944698348e-07,0.9557620586296478,-0.4640042388606658,0.0009640715062098071,-0.002067870961329543,0.03171372638401073,1.3836578182055401,0.0002835722465209409,1.8452759213134942,1863,1866,,4.4674016328326216e-05,
90394,20,1,5.783055944698348e-07,0.9480082048375998,-0.7064958660592648,7.167131566310214e-05,-0.0016411886959584177,0.008860023585611455,0.3685918633777806,0.00047786053568154376,0.9787637925226238,1863,1866,,0.00044399814474788157,
90396,20,1,5.783055944698348e-07,0.9487286814533691,-0.5655671094066679,-1.5303980305247933e-11,-0.015223662005411143,2.1573145393555463e-10,8.995520435345518e-09,0.0008138700621211351,2.184830039772982,1863,1866,,0.000261083133080964,True
90432,20,1,5.783055944698348e-07,0.9529540076064368,-0.5669897722254624,-5.33579846972998e-11,-0.0005009313402857263,1.764399200974508e-09,7.442648440825342e-08,0.000300132255433524,0.6807541511437638,1863,1866,,0.00036290112186822395,True
90434,20,1,5.783055944698348e-07,0.9310899129069429,-0.6274793125299505,-7.009851588080096e-09,-0.010850940501411666,1.5621562316986897e-07,6.567285709594284e-06,0.00022671099588640712,1.2205249044320943,1863,1866,,6.538442610477132e-05,True
90440,20,1,5.783055944698348e-07,0.9458317650128382,-0.6972689416482876,-6.357618875796334e-10,-7.776311396145985e-06,9.309799194157455e-09,4.279358094692188e-07,0.0009897526324864603,2.0738049874355298,1863,1866,,0.0004270737551629553,True
